,date,datatype,station,attributes,value
0,2018-04-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",17
1,2018-04-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",67
2,2018-04-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",44
3,2018-04-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",17
4,2018-04-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",56
5,2018-04-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",33
6,2018-04-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",39
7,2018-04-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",39
8,2018-04-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",39
9,2018-04-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",78
10,2018-04-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",189
11,2018-04-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
12,2018-04-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",83
13,2018-04-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",39
14,2018-04-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",28
15,2018-04-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",17
16,2018-04-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",61
17,2018-04-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",28
18,2018-04-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",128
19,2018-04-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",161
20,2018-04-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",128
21,2018-04-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",167
22,2018-04-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",172
23,2018-04-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",183
24,2018-04-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",117
25,2018-04-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",189
26,2018-04-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",144
27,2018-04-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",100
28,2018-04-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",150
29,2018-04-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
30,2018-05-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
31,2018-05-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
32,2018-05-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
33,2018-05-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",233
34,2018-05-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
35,2018-05-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",200
36,2018-05-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
37,2018-05-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
38,2018-05-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
39,2018-05-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
40,2018-05-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",111
41,2018-05-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",100
42,2018-05-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
43,2018-05-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
44,2018-05-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",217
45,2018-05-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
46,2018-05-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",206
47,2018-05-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",183
48,2018-05-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",206
49,2018-05-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",128
50,2018-05-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",178
51,2018-05-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
52,2018-05-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
53,2018-05-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
54,2018-05-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
55,2018-05-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",322
56,2018-05-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",361
57,2018-05-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",350
58,2018-05-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
59,2018-05-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
60,2018-05-31T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
61,2018-06-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",244
62,2018-06-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
63,2018-06-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
64,2018-06-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
65,2018-06-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",222
66,2018-06-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
67,2018-06-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
68,2018-06-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
69,2018-06-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
70,2018-06-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",217
71,2018-06-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",211
72,2018-06-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
73,2018-06-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
74,2018-06-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
75,2018-06-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
76,2018-06-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",333
77,2018-06-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",339
78,2018-06-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",350
79,2018-06-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
80,2018-06-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",250
81,2018-06-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",194
82,2018-06-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",178
83,2018-06-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
84,2018-06-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
85,2018-06-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
86,2018-06-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",289
87,2018-06-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
88,2018-06-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",311
89,2018-06-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",356
90,2018-06-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",344
91,2018-07-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",344
92,2018-07-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
93,2018-07-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
94,2018-07-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",339
95,2018-07-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",333
96,2018-07-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",239
97,2018-07-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
98,2018-07-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",311
99,2018-07-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
100,2018-07-10T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
101,2018-07-11T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
102,2018-07-12T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
103,2018-07-13T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",350
104,2018-07-14T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
105,2018-07-15T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
106,2018-07-16T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",339
107,2018-07-17T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
108,2018-07-18T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
109,2018-07-19T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",306
110,2018-07-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
111,2018-07-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
112,2018-07-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",244
113,2018-07-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
114,2018-07-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",311
115,2018-07-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",322
116,2018-07-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
117,2018-07-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
118,2018-07-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
119,2018-07-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
120,2018-07-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",278
121,2018-07-31T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
122,2018-08-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
123,2018-08-02T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
124,2018-08-03T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
125,2018-08-04T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",361
126,2018-08-05T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",344
127,2018-08-06T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",272
128,2018-08-07T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",283
129,2018-08-08T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
130,2018-08-09T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",317
